,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
249,zx3l97ez,250,https://www.speedrun.com/sm64/runs/zx3l97ez,2023-06-19T17:33:29Z,521.0,521.0,863k2ww8,MeepJeep,Germany,N64,Yes
250,dy4wv2qm,251,https://www.speedrun.com/sm64/runs/dy4wv2qm,2015-06-17T07:18:19Z,523.0,523.0,68wwn48g,Mitagi,Japan,N64,Yes
251,zglnr5dm,252,https://www.speedrun.com/sm64/runs/zglnr5dm,2024-02-20T02:00:05Z,524.0,524.0,8lpv62lj,Kzwbz,China,EMU,Yes
252,zgo44jdm,253,https://www.speedrun.com/sm64/runs/zgo44jdm,2024-11-26T08:31:04Z,525.0,525.0,8l46gmvj,funzonetwilight,United States,N64,Yes
253,zqnr2drz,253,https://www.speedrun.com/sm64/runs/zqnr2drz,2026-03-07T16:10:58Z,525.0,525.0,86pp6l3j,MiloboloWF,France,EMU,Yes
254,y4lrl1dz,255,https://www.speedrun.com/sm64/runs/y4lrl1dz,2024-08-15T04:26:51Z,526.0,526.0,kj9novo8,MathsVlog,United States,EMU,Yes
255,y2rerd9m,256,https://www.speedrun.com/sm64/runs/y2rerd9m,2025-12-09T05:23:50Z,528.0,528.0,8q5m1vw8,DearieMiri,United States,N64,Yes
256,y9v662nm,257,https://www.speedrun.com/sm64/runs/y9v662nm,2022-06-09T14:34:31Z,530.0,530.0,8l02n628,mojopug,Spain,EMU,Yes
257,y2pggk9z,257,https://www.speedrun.com/sm64/runs/y2pggk9z,2022-06-15T03:53:48Z,530.0,530.0,xk4rk32j,Tankfird,United States,EMU,Yes
258,mr50pp2y,259,https://www.speedrun.com/sm64/runs/mr50pp2y,2026-01-15T17:33:05Z,532.0,532.0,8go0g47x,Poloms,France,N64,Yes
259,y4l138kz,260,https://www.speedrun.com/sm64/runs/y4l138kz,2024-07-22T00:46:28Z,533.0,533.0,8en063p8,Prismatic_Fast,United States,EMU,Yes
260,z5k42kjz,261,https://www.speedrun.com/sm64/runs/z5k42kjz,2024-01-28T10:35:58Z,534.0,534.0,j26ewg7x,Littlezombie,China,EMU,Yes
261,9yoqx7zx,262,https://www.speedrun.com/sm64/runs/9yoqx7zx,,536.0,536.0,dx35r2jl,exe,Germany,N64,Yes
262,y9lk11ey,263,https://www.speedrun.com/sm64/runs/y9lk11ey,2022-02-07T04:03:26Z,537.0,537.0,8qzwgr78,toilet64_,United States,N64,Yes
263,ydpqjejy,264,https://www.speedrun.com/sm64/runs/ydpqjejy,2026-02-24T20:44:58Z,538.0,538.0,j06em24j,ManiacDoc,Germany,EMU,Yes
264,y4e3v6km,265,https://www.speedrun.com/sm64/runs/y4e3v6km,2020-09-25T07:00:23Z,539.0,539.0,qjn6qqqx,bann_jpn,Japan,N64,Yes
265,mr920g4m,265,https://www.speedrun.com/sm64/runs/mr920g4m,2020-12-03T09:54:27Z,539.0,539.0,qj2rklpx,cjrokokomero,Italy,EMU,Yes
266,m3r43jqm,267,https://www.speedrun.com/sm64/runs/m3r43jqm,2021-07-11T20:15:14Z,540.0,540.0,jo3o7dej,456Productions,United States,EMU,Yes
267,yjddnp7y,267,https://www.speedrun.com/sm64/runs/yjddnp7y,2022-09-14T00:28:43Z,540.0,540.0,pj0eny48,scoagogo,Northern Ireland,EMU,Yes
268,yo34jl0y,269,https://www.speedrun.com/sm64/runs/yo34jl0y,2020-09-12T19:50:45Z,542.0,542.0,dx394zkx,max25,England,N64,Yes
269,8y8vg1wz,270,https://www.speedrun.com/sm64/runs/8y8vg1wz,2015-09-09T12:14:31Z,543.0,543.0,zx7q2pv8,Beck,United States,N64,Yes
270,yvq5ro8m,271,https://www.speedrun.com/sm64/runs/yvq5ro8m,2022-03-07T00:53:13Z,546.0,546.0,863719q8,BananilsonFarofa,Brazil,EMU,Yes
271,yj1x767y,272,https://www.speedrun.com/sm64/runs/yj1x767y,2021-02-15T15:18:40Z,549.0,549.0,98rrd381,srb,Germany,N64,Yes
272,yw3p38nm,272,https://www.speedrun.com/sm64/runs/yw3p38nm,2022-04-16T21:44:31Z,549.0,549.0,kj90merj,FinnTyph,United States,N64,Yes
273,z52g2x5z,272,https://www.speedrun.com/sm64/runs/z52g2x5z,2022-06-27T22:19:31Z,549.0,549.0,18qk2m78,DentoriousRed,United States,N64,Yes
274,y2pke6jz,275,https://www.speedrun.com/sm64/runs/y2pke6jz,2022-06-19T21:43:53Z,550.0,550.0,8vkqwknj,GroundPoundGary,United States,EMU,Yes
275,wzpkx8yq,276,https://www.speedrun.com/sm64/runs/wzpkx8yq,,551.0,551.0,,,,N64,Yes
276,pydvlwyn,277,https://www.speedrun.com/sm64/runs/pydvlwyn,,553.0,553.0,,,,N64,No
277,zqjok78m,278,https://www.speedrun.com/sm64/runs/zqjok78m,2023-08-19T20:57:46Z,555.0,555.0,8d3mywlx,ross3102,United States,EMU,Yes
278,zpv48orz,279,https://www.speedrun.com/sm64/runs/zpv48orz,2026-03-05T16:33:13Z,556.0,556.0,j2wp4qoj,Miky_,Italy,EMU,Yes
279,pm3v76z0,280,https://www.speedrun.com/sm64/runs/pm3v76z0,,557.0,557.0,,,,EMU,Yes
280,yvgnkroy,281,https://www.speedrun.com/sm64/runs/yvgnkroy,2018-02-17T11:33:42Z,558.0,558.0,,,,N64,No
281,yvrv04ez,282,https://www.speedrun.com/sm64/runs/yvrv04ez,2022-06-19T19:14:55Z,559.0,559.0,xkmp5p7j,Puxel64,,EMU,Yes
282,zq78k3rm,282,https://www.speedrun.com/sm64/runs/zq78k3rm,2022-06-21T22:44:04Z,559.0,559.0,8g5772rj,Semaa,Bosnia and Herzegovina,EMU,Yes
283,y2p2dv5z,284,https://www.speedrun.com/sm64/runs/y2p2dv5z,2022-06-22T19:42:15Z,561.0,561.0,863k2ww8,MeepJeep,Germany,EMU,Yes
284,z0jrk44y,285,https://www.speedrun.com/sm64/runs/z0jrk44y,2023-06-12T20:10:08Z,563.0,563.0,xz06gme8,RxCursed,Colombia,EMU,Yes
